Video ID,Approx Duration (ms),Video Category,Video Description (Original),Channel ID,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
k_8oLZDeqCg,58000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Declaration of Independence,Public,Processed,2022-10-18T18:02:41+00:00,2022-10-18T18:03:29+00:00
ZPtbhdrIOvU,59000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,We Are Not Alone,Public,Processed,2022-10-18T18:37:03+00:00,2022-10-18T18:37:28+00:00
6wDa18QAIJw,39000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,You are My Sunshine,Public,Processed,2022-10-18T19:16:11+00:00,2022-10-18T19:16:46+00:00
Zf2qeyoogmE,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Sacred Generational Exchange,Public,Processed,2022-10-19T20:16:27+00:00,2022-10-19T20:16:55+00:00
DRouWPIPYbo,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Wisdom of John Denver,Public,Processed,2022-10-19T20:17:55+00:00,2022-10-19T20:18:14+00:00
Ug0Zh5ldcZY,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,John Denver Wisdom,Public,Processed,2022-10-19T21:19:05+00:00,2022-10-19T21:19:40+00:00
_7qBmb2D3xA,35000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Dimensional Portal Blue Hippo,Public,Processed,2022-10-19T21:36:20+00:00,2022-10-19T21:36:35+00:00
z5u9-CjOSBI,494000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Christ’s Evolution: Darwin’s Salvation,Public,Processed,2022-10-19T22:19:24+00:00,2022-10-19T22:41:18+00:00
ent6O2D1Cfw,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Mycelium Network,Public,Processed,2022-10-19T23:01:58+00:00,2022-10-19T23:02:38+00:00
9wNAg1sC9hc,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Mycelium Network,Public,Processed,2022-10-19T23:09:54+00:00,2022-10-19T23:10:16+00:00
3gKACwty9JI,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Expressions of Gratitude,Public,Processed,2022-10-20T06:45:12+00:00,2022-10-20T06:45:43+00:00
v_U797EkkW0,112000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Intergenerational Learning,Public,Processed,2022-10-20T13:16:13+00:00,2022-10-20T13:18:53+00:00
y0cDSDD-zG8,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Intergenerational Learning,Unlisted,Processed,2022-10-20T14:59:27+00:00,2022-10-20T15:00:00+00:00
Tr_IPO1NUSE,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Father-Shaped-Holes,Public,Processed,2022-10-20T16:17:29+00:00,2022-10-20T16:18:56+00:00
B-2rEugRfcQ,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Guitar Students - Rosenbalm Academy of Music,Public,Processed,2022-10-20T18:08:55+00:00,2022-10-20T18:35:58+00:00
d9QfkGvVfZw,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,L&tEoW: Music Lessons,Public,Processed,2022-10-20T18:45:56+00:00,2022-10-20T18:46:14+00:00
RsHLX9SIZCA,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,L&tEoW: The Light In You,Public,Processed,2022-10-20T21:25:28+00:00,2022-10-20T21:26:06+00:00
x9Uq8wu3Xek,6000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Beautiful Redhead - Autumn Leaves,Public,Processed,2022-10-21T17:20:38+00:00,2022-10-21T17:20:53+00:00
FmOpMpeQH9M,5000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Beautiful Redhead ~ Autumn Leaves,Public,Processed,2022-10-21T17:24:48+00:00,2022-10-21T17:25:00+00:00
